Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_2_length_526558_cov_13.889602	150058	150963	-	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	99.34	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_2_length_526558_cov_13.889602	178561	180615	-	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_2_length_526558_cov_13.889602	344461	344805	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	115	116	99.14	93.04	115	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_31_length_12439_cov_9.408138	2421	3632	+	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.00	99.50	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_31_length_12439_cov_9.408138	10236	11258	-	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTX	341	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_31_length_12439_cov_9.408138	11490	12263	-	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	EXACTX	258	258	100.00	100.00	258	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_34_length_6703_cov_7.909824	3863	4333	-	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_021529707.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_38_length_4727_cov_8.384565	2828	3700	-	blaCTX-M-65	extended-spectrum class A beta-lactamase CTX-M-65	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_013188475.1	extended-spectrum class A beta-lactamase CTX-M-65	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_45_length_1249_cov_8.571301	224	1036	-	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_4_length_245776_cov_12.029481	146353	148542	-	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	99.59	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_5_length_204015_cov_16.695956	19008	19703	-	lpfB	long polar fimbrial chaperone LpfB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	232	232	100.00	100.00	232	WXV87835.1	long polar fimbrial chaperone LpfB	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_8_length_184340_cov_13.355404	66283	66744	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	EXACTX	154	154	100.00	100.00	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_8_length_184340_cov_13.355404	66759	69044	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.61	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_8_length_184340_cov_13.355404	69321	70544	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_8_length_184340_cov_13.355404	70544	73708	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.91	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
SAL_AD0100AA_AS	NA	SAL_AD0100AA_AS_NODE_9_length_180709_cov_10.801752	20553	23186	-	gyrA_D87Y	Salmonella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	878	878	100.00	99.89	878	WP_001281271.1	DNA gyrase subunit A GyrA	NA	NA
Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_10_length_184340_cov_10.607194	66283	66744	-	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	EXACTX	154	154	100.00	100.00	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_10_length_184340_cov_10.607194	66759	69044	-	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.61	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_10_length_184340_cov_10.607194	69321	70544	+	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_10_length_184340_cov_10.607194	70544	73708	+	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.91	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_11_length_180588_cov_7.845568	157524	160157	+	gyrA_D87Y	Salmonella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	878	878	100.00	99.89	878	WP_001281271.1	DNA gyrase subunit A GyrA	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_14_length_150067_cov_8.229992	43751	44794	+	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	99.71	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_14_length_150067_cov_8.229992	143464	145827	-	sspH2	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	788	788	100.00	100.00	788	QJV46475.1	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_16_length_131692_cov_6.232585	39178	40977	+	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_16_length_131692_cov_6.232585	40967	42766	+	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	1345	2133	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	2300	2644	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	2641	3477	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	12364	12783	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	12822	13094	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	13111	13458	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	13530	13961	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_17_length_118119_cov_5.738287	15997	17193	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_1_length_471844_cov_10.774140	631	1743	+	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.25	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_1_length_471844_cov_10.774140	1827	5453	+	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_1_length_471844_cov_10.774140	94209	95114	-	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	99.34	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_1_length_471844_cov_10.774140	122712	124766	-	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_1_length_471844_cov_10.774140	288558	288902	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	115	116	99.14	93.04	115	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_36_length_11373_cov_6.387960	176	949	+	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	EXACTX	258	258	100.00	100.00	258	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_36_length_11373_cov_6.387960	1181	2203	+	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTX	341	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_36_length_11373_cov_6.387960	8807	10018	-	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.00	99.50	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_38_length_6703_cov_5.474453	3863	4333	-	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_021529707.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_41_length_4727_cov_5.552609	1028	1900	+	blaCTX-M-65	extended-spectrum class A beta-lactamase CTX-M-65	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_013188475.1	extended-spectrum class A beta-lactamase CTX-M-65	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_45_length_2747_cov_7.324427	448	861	+	fosA3	fosfomycin resistance glutathione transferase FosA3	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	ALLELEX	138	138	100.00	100.00	138	WP_014839980.1	fosfomycin resistance glutathione transferase FosA3	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_48_length_1228_cov_5.321526	193	1005	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_6_length_245776_cov_9.211871	97235	99424	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	99.59	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
SAL_AD0102AA_AS	NA	SAL_AD0102AA_AS_NODE_7_length_210011_cov_12.777387	190310	191005	+	lpfB	long polar fimbrial chaperone LpfB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	232	232	100.00	100.00	232	WXV87835.1	long polar fimbrial chaperone LpfB	NA	NA
Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_13_length_130762_cov_6.558878	16209	18008	-	ybtQ	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	97.17	600	AAC69584.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtQ	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_13_length_130762_cov_6.558878	17998	19797	-	ybtP	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	600	600	100.00	98.17	600	CAA21388.1	yersiniabactin ABC transporter ATP-binding/permease protein YbtP	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	1345	2133	+	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	263	263	100.00	100.00	263	WP_001206316.1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	2300	2644	+	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	core	STRESS	BIOCIDE	QUATERNARY AMMONIUM	QUATERNARY AMMONIUM	ALLELEX	115	115	100.00	100.00	115	WP_000679427.1	quaternary ammonium compound efflux SMR transporter QacE delta 1	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	2641	3477	+	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	279	279	100.00	100.00	279	WP_000259031.1	sulfonamide-resistant dihydropteroate synthase Sul1	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	12364	12783	-	merC	organomercurial transporter MerC	plus	STRESS	METAL	MERCURY	ORGANOMERCURY	EXACTX	140	140	100.00	100.00	140	AAC33908.1	organomercurial transporter MerC	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	12822	13094	-	merP	mercury resistance system periplasmic binding protein MerP	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	91	91	100.00	90.11	91	AAC38219.1	mercury resistance system periplasmic binding protein MerP	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	13111	13458	-	merT	mercuric transport protein MerT	plus	STRESS	METAL	MERCURY	MERCURY	EXACTX	116	116	100.00	100.00	116	AAB59075.1	mercuric transport protein MerT	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	13530	13961	+	merR	mercury resistance transcriptional regulator MerR	plus	STRESS	METAL	MERCURY	MERCURY	BLASTX	144	144	100.00	93.75	144	CAA77320.1	mercury resistance transcriptional regulator MerR	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_15_length_117964_cov_6.292412	15997	17193	+	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	399	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_1_length_1195375_cov_8.002638	4269	6632	+	sspH2	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	788	788	100.00	100.00	788	QJV46475.1	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_1_length_1195375_cov_8.002638	105302	106345	-	sseK2	type III secretion system effector arginine glycosyltransferase SseK2	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	348	348	100.00	99.71	348	AAL21040.1	type III secretion system effector arginine glycosyltransferase SseK2	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_2_length_526286_cov_11.392298	181764	182108	+	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	115	116	99.14	93.04	115	AET17094.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_2_length_526286_cov_11.392298	345954	348008	+	invA	type III secretion system export apparatus protein InvA	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	685	685	100.00	100.00	685	WXW86397.1	type III secretion system export apparatus protein InvA	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_2_length_526286_cov_11.392298	375605	376510	+	avrA	type III secretion system YopJ family effector AvrA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	302	302	100.00	99.34	302	AAL21745.1	type III secretion system YopJ family effector AvrA	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_2_length_526286_cov_11.392298	464889	468515	-	iroC	salmochelin/enterobactin export ABC transporter IroC	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	1209	1219	98.85	80.10	1211	AUH19662.1	salmochelin/enterobactin export ABC transporter IroC	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_2_length_526286_cov_11.392298	468599	469711	-	iroB	salmochelin biosynthesis C-glycosyltransferase IroB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	371	371	100.00	86.25	371	EOW04219.1	salmochelin biosynthesis C-glycosyltransferase IroB	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_33_length_6375_cov_7.408931	2871	4082	-	floR	chloramphenicol/florfenicol efflux MFS transporter FloR	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTX	404	404	100.00	99.50	404	WP_000214119.1	chloramphenicol/florfenicol efflux MFS transporter FloR	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_36_length_5350_cov_6.308252	2371	2841	+	dfrA14	trimethoprim-resistant dihydrofolate reductase DfrA14	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_021529707.1	trimethoprim-resistant dihydrofolate reductase DfrA14	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_38_length_5114_cov_6.705234	2911	3933	-	aph(4)-Ia	aminoglycoside O-phosphotransferase APH(4)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	HYGROMYCIN	EXACTX	341	341	100.00	100.00	341	WP_000742814.1	aminoglycoside O-phosphotransferase APH(4)-Ia	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_38_length_5114_cov_6.705234	4165	4938	-	aac(3)-IVa	aminoglycoside N-acetyltransferase AAC(3)-IVa	core	AMR	AMR	AMINOGLYCOSIDE	APRAMYCIN/GENTAMICIN/TOBRAMYCIN	EXACTX	258	258	100.00	100.00	258	WP_001199192.1	aminoglycoside N-acetyltransferase AAC(3)-IVa	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_39_length_4727_cov_6.425000	2828	3700	-	blaCTX-M-65	extended-spectrum class A beta-lactamase CTX-M-65	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	291	291	100.00	100.00	291	WP_013188475.1	extended-spectrum class A beta-lactamase CTX-M-65	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_43_length_2749_cov_6.369947	1889	2302	-	fosA3	fosfomycin resistance glutathione transferase FosA3	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	ALLELEX	138	138	100.00	100.00	138	WP_014839980.1	fosfomycin resistance glutathione transferase FosA3	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_47_length_1249_cov_6.407308	214	1026	+	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	271	271	100.00	100.00	271	WP_000018326.1	aminoglycoside O-phosphotransferase APH(3')-Ia	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_4_length_245776_cov_9.857618	97235	99424	+	sinH	intimin-like inverse autotransporter SinH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	730	730	100.00	99.59	730	AAL21411.1	intimin-like inverse autotransporter SinH	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_5_length_204015_cov_13.644530	19007	19702	-	lpfB	long polar fimbrial chaperone LpfB	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	232	232	100.00	100.00	232	WXV87835.1	long polar fimbrial chaperone LpfB	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_7_length_184440_cov_10.969281	110733	113897	-	mdsB	multidrug efflux RND transporter permease subunit MdsB	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	1055	1055	100.00	99.91	1055	AAL19305.1	multidrug efflux RND transporter permease subunit MdsB	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_7_length_184440_cov_10.969281	113897	115120	-	mdsA	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	408	408	100.00	98.28	408	AAL19306.1	multidrug efflux RND transporter periplasmic adaptor subunit MdsA	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_7_length_184440_cov_10.969281	115397	117682	+	golT	gold/copper-translocating P-type ATPase GolT	plus	STRESS	METAL	COPPER/GOLD	COPPER/GOLD	BLASTX	762	762	100.00	99.61	762	AAL19307.1	gold/copper-translocating P-type ATPase GolT	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_7_length_184440_cov_10.969281	117697	118158	+	golS	Au(I) sensor transcriptional regulator GolS	plus	STRESS	METAL	GOLD	GOLD	EXACTX	154	154	100.00	100.00	154	AAL19308.1	Au(I) sensor transcriptional regulator GolS	NA	NA
SAL_AD0099AA_AS	NA	SAL_AD0099AA_AS_NODE_8_length_180709_cov_8.911652	157524	160157	+	gyrA_D87Y	Salmonella quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	878	878	100.00	99.89	878	WP_001281271.1	DNA gyrase subunit A GyrA	NA	NA
