Uberstrain	Name	"Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)"	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	SISTR1 Serovar	SISTR1 Serogroup	SISTR1 H1	SISTR1 H2	SeqSero2 Serovar	SeqSero2 Serogroup	SeqSero2 H1	SeqSero2 H2	ST	eBG	Serotype (Predicted)	Lineage	Subspecies	aroC	dnaN	hemD	hisD	purE	sucA	thrA	cgST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_CB0883AA	CLA-76-8	"SRR11028940;ILLUMINA;Paired;500;SRX7681337;;;SRA"	SAL_CB0883AA	Environment	Water/River	"environmental-water; river water"	2019	6	11		South America	Chile							Paratyphi B	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008302	SRS6108392	14-02-2020	05-02-2020	Paratyphi B	B	b	1,2	Paratyphi B	4	b	1,2	86	5	Paratyphi B Var. Java			2	14	24	14	37	19	8	224423	224423	214282	214282	214282	214282	214282	214282	1620	1620	155	155	2	2	Assembled	168	152724	4723697	"Salmonella enterica;100.0%"	65	17760	4.1	SAL_AC7116AA_AS
SAL_CB0884AA	CLA-83-17	"SRR11028939;ILLUMINA;Paired;500;SRX7681336;;;SRA"	SAL_CB0884AA	Environment	Water/River	"environmental-water; creek water"	2019	6	11		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008299	SRS6108393	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	224466	214287	214287	777	777	777	158	158	2	2	2	2	2	2	Assembled	238	223495	4935184	"Salmonella enterica;100.0%"	67	23311	4.1	SAL_AC7115AA_AS
SAL_CB0885AA	CLA-83-16	"SRR11028938;ILLUMINA;Paired;500;SRX7681335;;;SRA"	SAL_CB0885AA	Environment	Water/River	"environmental-water; creek water"	2019	6	11		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008298	SRS6108391	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	224425	224425	214287	777	777	777	158	158	2	2	2	2	2	2	Assembled	231	225812	4934020	"Salmonella enterica;100.0%"	62	22772	4.1	SAL_AC7114AA_AS
SAL_CB0886AA	MATAQ-54-11	"SRR11028937;ILLUMINA;Paired;500;SRX7681334;;;SRA"	SAL_CB0886AA	Environment	Water/River	"environmental-water; creek water"	2019	5	28		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008297	SRS6108389	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224427	214281	214281	214281	214281	214281	87	87	12	12	12	12	2	2	Assembled	175	405924	4705260	"Salmonella enterica;100.0%"	28	11512	4.1	SAL_AC7113AA_AS
SAL_CB0887AA	LON-60-15	"SRR11028936;ILLUMINA;Paired;500;SRX7681333;;;SRA"	SAL_CB0887AA	Environment	Water/River	"environmental-water; creek water"	2019	5	28		South America	Chile							Manhattan (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008300	SRS6108390	14-02-2020	05-02-2020	Manhattan	C2-C3	d	1,5	Manhattan	8	d	1,5	18	27	Manhattan			9	9	6	12	9	12	2	224426	224426	214288	214288	214288	214288	214288	22	22	22	22	22	2	2	Assembled	110	309637	4660191	"Salmonella enterica;100.0%"	46	16102	4.1	SAL_AC7112AA_AS
SAL_CB0888AA	CLA-120-8	"SRR11028935;ILLUMINA;Paired;500;SRX7681332;;;SRA"	SAL_CB0888AA	Environment	Water/River	"environmental-water; river water"	2019	7	10		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008301	SRS6108388	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224428	224428	214284	214284	214284	214284	87	87	12	12	12	12	2	2	Assembled	157	478409	4703890	"Salmonella enterica;100.0%"	25	6917	4.1	SAL_AC7111AA_AS
SAL_CB0889AA	MATAQ-117-8	"SRR11028933;ILLUMINA;Paired;500;SRX7681330;;;SRA"	SAL_CB0889AA	Environment	Water/River	"environmental-water; river water"	2019	7	24		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008294	SRS6108386	14-02-2020	05-02-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	224430	224430	215390	215390	215390	215390	2398	36	36	36	36	36	2	2	Assembled	232	212701	4582971	"Salmonella enterica;100.0%"	46	8392	4.1	SAL_AC7110AA_AS
SAL_CB0890AA	LON-75-11	"SRR11028931;ILLUMINA;Paired;500;SRX7681328;;;SRA"	SAL_CB0890AA	Environment	Water/River	"environmental-water; river water"	2019	6	25		South America	Chile							Brandenburg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008293	SRS6108387	14-02-2020	05-02-2020	Brandenburg	B	l,v	e,n,z15	Brandenburg	4	l,v	e,n,z15	65	12	Reading	Lineage 3		11	10	13	32	10	13	4	224429	224429	214285	214285	214285	214285	51313	1800	1800	592	592	118	2	2	Assembled	265	543800	4593320	"Salmonella enterica;96.43%"	34	17913	4.1	SAL_AC7109AA_AS
SAL_CB0932AA	CLA-150-8	"SRR11028853;ILLUMINA;Paired;500;SRX7681250;;;SRA"	SAL_CB0932AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008177	SRS6108313	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224391	224391	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	213	421911	4699764	"Salmonella enterica;95.83%"	36	7498	4.1	SAL_AC7067AA_AS
SAL_CB0936AA	LON-75-12	"SRR11028849;ILLUMINA;Paired;500;SRX7681246;;;SRA"	SAL_CB0936AA	Environment	Water/River	"environmental-water; river water"	2019	6	25		South America	Chile							Brandenburg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008195	SRS6108309	14-02-2020	05-02-2020	Brandenburg	B	l,v	e,n,z15	Brandenburg	4	l,v	e,n,z15	65	12	Reading	Lineage 3		11	10	13	32	10	13	4	224396	214285	214285	214285	214285	214285	51313	1800	1800	592	592	118	2	2	Assembled	227	625271	4594748	"Salmonella enterica;95.24%"	31	14749	4.1	SAL_AC7063AA_AS
SAL_CB0938AA	LON-135-9	"SRR11028812;ILLUMINA;Paired;500;SRX7681209;;;SRA"	SAL_CB0938AA	Environment	Water/River	"environmental-water; river water"	2019	10	27		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008176	SRS6108272	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	224398	224398	224398	224398	224398	777	158	158	2	2	2	2	2	2	Assembled	136	290017	4933173	"Salmonella enterica;100.0%"	58	8093	4.1	SAL_AC7061AA_AS
SAL_CB0939AA	CLA-150-10	"SRR11028795;ILLUMINA;Paired;500;SRX7681192;;;SRA"	SAL_CB0939AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008170	SRS6108255	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224399	224399	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	140	421916	4699868	"Salmonella enterica;96.0%"	34	7590	4.1	SAL_AC7060AA_AS
SAL_CB0940AA	LON-135-7	"SRR11028794;ILLUMINA;Paired;500;SRX7681191;;;SRA"	SAL_CB0940AA	Environment	Water/River	"environmental-water; river water"	2019	9	27		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008167	SRS6108253	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	224398	224398	224398	224398	224398	777	158	158	2	2	2	2	2	2	Assembled	207	271390	4935305	"Salmonella enterica;100.0%"	61	7628	4.1	SAL_AC7059AA_AS
SAL_CB0941AA	CLA-150-9	"SRR11028793;ILLUMINA;Paired;500;SRX7681190;;;SRA"	SAL_CB0941AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008169	SRS6108252	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224351	224351	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	144	406764	4700036	"Salmonella enterica;96.3%"	35	7463	4.1	SAL_AC7058AA_AS
SAL_CB0942AA	LON-135-6	"SRR11028792;ILLUMINA;Paired;500;SRX7681189;;;SRA"	SAL_CB0942AA	Environment	Water/River	"environmental-water; river water"	2019	8	27		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008168	SRS6108254	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	224398	224398	224398	224398	224398	777	158	158	2	2	2	2	2	2	Assembled	146	271390	4934551	"Salmonella enterica;97.88%"	65	7715	4.1	SAL_AC7057AA_AS
SAL_CB0944AA	CLA-150-6	"SRR11028790;ILLUMINA;Paired;500;SRX7681187;;;SRA"	SAL_CB0944AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008162	SRS6108249	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224401	224401	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	382	406246	4700698	"Salmonella enterica;96.55%"	42	18975	4.1	SAL_AC7055AA_AS
SAL_CB0947AA	CLA-44-10	"SRR11028787;ILLUMINA;Paired;500;SRX7681184;;;SRA"	SAL_CB0947AA	Environment	Water/River	"environmental-water; canal water"	2019	5	14		South America	Chile							Typhimurium monophasic (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008160	SRS6108247	14-02-2020	05-02-2020	I 1,4,[5],12:i:-	B	i	-	4:i:-	4	i	-	19	1	Typhimurium			10	7	12	9	5	9	2	224403	224403	214321	214321	214321	48	48	48	2	2	2	2	2	2	Assembled	258	265917	4868363	"Salmonella enterica;100.0%"	63	20379	4.1	SAL_AC7052AA_AS
SAL_CB0950AA	MATAQ-18-7	"SRR11028784;ILLUMINA;Paired;500;SRX7681181;;;SRA"	SAL_CB0950AA	Environment	Water/River	"environmental-water; creek water"	2019	4	24		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008158	SRS6108244	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	99	1	Typhimurium			10	7	12	9	5	9	46	224407	224367	215356	215356	215356	12430	2340	2340	2340	2	2	2	2	2	Assembled	167	324196	4942178	"Salmonella enterica;100.0%"	51	11542	4.1	SAL_AC7049AA_AS
SAL_CB0956AA	LON-30-12	"SRR11028693;ILLUMINA;Paired;500;SRX7681090;;;SRA"	SAL_CB0956AA	Environment	Water/River	"environmental-water; creek water"	2019	4	25		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008166	SRS6108153	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	99	1	Typhimurium			10	7	12	9	5	9	46	224349	224349	215356	215356	215356	12430	2340	2340	2340	2	2	2	2	2	Assembled	195	324201	4941557	"Salmonella enterica;97.61%"	57	13431	4.1	SAL_AC7043AA_AS
SAL_CB0957AA	CLA-150-5	"SRR11028692;ILLUMINA;Paired;500;SRX7681089;;;SRA"	SAL_CB0957AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008146	SRS6108152	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224351	224351	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	315	404280	4699539	"Salmonella enterica;96.3%"	36	14416	4.1	SAL_AC7042AA_AS
SAL_CB0968AA	CLA-150-7	"SRR11028681;ILLUMINA;Paired;500;SRX7681078;;;SRA"	SAL_CB0968AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14008154	SRS6108141	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224359	224359	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	178	424314	4699377	"Salmonella enterica;100.0%"	32	5462	4.1	SAL_AC7031AA_AS
SAL_CB0978AA	LON-30-8	"SRR11028668;ILLUMINA;Paired;500;SRX7681065;;;SRA"	SAL_CB0978AA	Environment	Water/River	"environmental-water; creek water"	2019	4	25		South America	Chile							Typhimurium (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14007983	SRS6108127	14-02-2020	05-02-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	99	1	Typhimurium			10	7	12	9	5	9	46	224367	224367	215356	215356	215356	12430	2340	2340	2340	2	2	2	2	2	Assembled	217	200520	4941588	"Salmonella enterica;96.61%"	74	26581	4.1	SAL_AC7021AA_AS
SAL_CB0979AA	CLA-150-4	"SRR11028667;ILLUMINA;Paired;500;SRX7681064;;;SRA"	SAL_CB0979AA	Environment	Water/River	"environmental-water; river water"	2019	8	13		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN14007984	SRS6108126	14-02-2020	05-02-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	224368	224368	224351	224351	224351	224351	12	12	12	12	12	12	2	2	Assembled	220	400892	4699877	"Salmonella enterica;100.0%"	41	17404	4.1	SAL_AC7020AA_AS
SAL_CB1461AA	FA0315	"SRR10970422;ILLUMINA;Paired;500;SRX7635927;;;SRA"	SAL_CB1461AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	6	18		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928297	SRS6066645	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223972	223972	223972	215342	215342	215342	42	42	42	42	42	42	42	2	Assembled	217	321153	4901741	"Salmonella enterica;97.88%"	71	21951	4.1	SAL_AC6608AA_AS
SAL_CB1462AA	FA0506	"SRR10970420;ILLUMINA;Paired;500;SRX7635925;;;SRA"	SAL_CB1462AA	Environment	Water/River	"environmental-water; river water"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928298	SRS6066643	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	214478	214478	775	775	775	775	36	36	36	36	36	36	2	2	Assembled	222	300293	4598862	"Salmonella enterica;100.0%"	45	12965	4.1	SAL_AC6607AA_AS
SAL_CB1463AA	FA0507	"SRR10970419;ILLUMINA;Paired;500;SRX7635924;;;SRA"	SAL_CB1463AA	Environment	Water/River	"environmental-water; river water"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928299	SRS6066642	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	223990	223990	775	775	775	775	36	36	36	36	36	36	2	2	Assembled	217	397298	4599258	"Salmonella enterica;100.0%"	44	10818	4.1	SAL_AC6606AA_AS
SAL_CB1464AA	FA0309	"SRR10970416;ILLUMINA;Paired;500;SRX7635921;;;SRA"	SAL_CB1464AA	Environment	Water/River	"environmental-water; river water"	2019	6	18		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928286	SRS6066639	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223991	223972	223972	215342	215342	215342	42	42	42	42	42	42	42	2	Assembled	186	301921	4894424	"Salmonella enterica;97.87%"	79	19129	4.1	SAL_AC6605AA_AS
SAL_CB1465AA	FA0310	"SRR10970415;ILLUMINA;Paired;500;SRX7635920;;;SRA"	SAL_CB1465AA	Environment	Water/River	"environmental-water; river water"	2019	6	18		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928302	SRS6066638	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223972	223972	223972	215342	215342	215342	42	42	42	42	42	42	42	2	Assembled	210	258349	4891925	"Salmonella enterica;96.22%"	80	20587	4.1	SAL_AC6604AA_AS
SAL_CB1466AA	FA0308	"SRR10970414;ILLUMINA;Paired;500;SRX7635919;;;SRA"	SAL_CB1466AA	Environment	Water/River	"environmental-water; river water"	2019	6	18		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928284	SRS6066637	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223972	223972	223972	215342	215342	215342	42	42	42	42	42	42	42	2	Assembled	203	301921	4892322	"Salmonella enterica;95.92%"	73	15476	4.1	SAL_AC6603AA_AS
SAL_CB1467AA	FA0509	"SRR10970412;ILLUMINA;Paired;500;SRX7635917;;;SRA"	SAL_CB1467AA	Environment	Water/River	"environmental-water; river water"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928293	SRS6066636	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	214478	214478	775	775	775	775	36	36	36	36	36	36	2	2	Assembled	193	385465	4598324	"Salmonella enterica;100.0%"	43	10015	4.1	SAL_AC6602AA_AS
SAL_CB1468AA	FA0505	"SRR10970411;ILLUMINA;Paired;500;SRX7635916;;;SRA"	SAL_CB1468AA	Environment	Water/River	"environmental-water; river water"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928289	SRS6066635	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	214478	214478	775	775	775	775	36	36	36	36	36	36	2	2	Assembled	237	397298	4598784	"Salmonella enterica;100.0%"	43	9842	4.1	SAL_AC6601AA_AS
SAL_CB1469AA	FA0513	"SRR10970409;ILLUMINA;Paired;500;SRX7635914;;;SRA"	SAL_CB1469AA	Environment	Plant	"environmental-water; estuary"	2019	7	4		South America	Chile												FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928295	SRS6066633	14-02-2020	27-01-2020	Typhimurium	B	i	1,2	Typhimurium	4	i	1,2	19	1	Typhimurium			10	7	12	9	5	9	2	223883	223882	223882	223882	223882	103172	293	201	2	2	2	2	2	2	Assembled	224	225887	4951768	"Salmonella enterica;97.92%"	73	16923	4.1	SAL_AC6600AA_AS
SAL_CB1470AA	FA0486	"SRR10970407;ILLUMINA;Paired;500;SRX7635912;;;SRA"	SAL_CB1470AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928290	SRS6066631	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	223983	223981	57192	47605	47605	343	36	36	36	36	36	36	2	2	Assembled	207	194246	4991891	"Salmonella enterica;91.06%"	72	15696	4.1	SAL_AC6599AA_AS
SAL_CB1471AA	FA0508	"SRR10970406;ILLUMINA;Paired;500;SRX7635911;;;SRA"	SAL_CB1471AA	Environment	Water/River	"environmental-water; river water"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928303	SRS6066630	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	214478	214478	775	775	775	775	36	36	36	36	36	36	2	2	Assembled	275	385297	4597682	"Salmonella enterica;100.0%"	44	10415	4.1	SAL_AC6598AA_AS
SAL_CB1472AA	FA0485	"SRR10970403;ILLUMINA;Paired;500;SRX7635908;;;SRA"	SAL_CB1472AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	7	4		South America	Chile							Agona (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928301	SRS6066627	14-02-2020	27-01-2020	Agona	B	f,g,s	-	Agona	4	f,g,s	-	13	54	Agona			3	3	7	4	3	3	7	106378	106378	106378	106378	29418	419	29	29	28	28	28	28	28	2	Assembled	182	347995	4811892	"Salmonella enterica;94.44%"	51	19232	4.1	SAL_AC6597AA_AS
SAL_CB1473AA	FA0031	"SRR10970399;ILLUMINA;Paired;500;SRX7635904;;;SRA"	SAL_CB1473AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	4	10		South America	Chile							Enteritidis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928281	SRS6066623	14-02-2020	27-01-2020	Enteritidis	D1	g,m	-	Enteritidis	9	g,m	-	11	4	Enteritidis			5	2	3	7	6	6	11	223982	223982	223982	223982	761	760	87	87	12	12	12	12	2	2	Assembled	256	229655	4741677	"Salmonella enterica;94.6%"	45	24546	4.1	SAL_AC6596AA_AS
SAL_CB1474AA	FA0314	"SRR10970398;ILLUMINA;Paired;500;SRX7635903;;;SRA"	SAL_CB1474AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	6	18		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928283	SRS6066622	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223973	223973	223973	147597	147597	136019	42	42	42	42	42	42	42	2	Assembled	226	292775	4850877	"Salmonella enterica;97.37%"	60	23657	4.1	SAL_AC6595AA_AS
SAL_CB1475AA	FA0492	"SRR10970397;ILLUMINA;Paired;500;SRX7635902;;;SRA"	SAL_CB1475AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928279	SRS6066621	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	223981	223981	57192	47605	47605	343	36	36	36	36	36	36	2	2	Assembled	186	180709	4992460	"Salmonella enterica;93.23%"	77	16417	4.1	SAL_AC6594AA_AS
SAL_CB1476AA	FA0487	"SRR10970396;ILLUMINA;Paired;500;SRX7635901;;;SRA"	SAL_CB1476AA	Environment	Water/River	"environmental-farm| water; irrigation canal"	2019	7	4		South America	Chile							Infantis (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928282	SRS6066620	14-02-2020	27-01-2020	Infantis	C1	r	1,5	Infantis	7	r	1,5	32	31	Infantis			17	18	22	17	5	21	19	223983	223981	57192	47605	47605	343	36	36	36	36	36	36	2	2	Assembled	190	184346	4992293	"Salmonella enterica;93.11%"	75	15230	4.1	SAL_AC6593AA_AS
SAL_CB1477AA	FA0311	"SRR10970395;ILLUMINA;Paired;500;SRX7635900;;;SRA"	SAL_CB1477AA	Environment	Water/River	"environmental-water; river water"	2019	6	18		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928280	SRS6066619	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223972	223972	223972	215342	215342	215342	42	42	42	42	42	42	42	2	Assembled	195	258349	4892345	"Salmonella enterica;98.18%"	82	19971	4.1	SAL_AC6592AA_AS
SAL_CB1478AA	FA0195	"SRR10970394;ILLUMINA;Paired;500;SRX7635899;;;SRA"	SAL_CB1478AA	Environment	Water/River	"environmental-water; river water"	2019	4	9		South America	Chile							Senftenberg (Predicted)	I				FDA Center for Food Safety and Applied Nutrition		PRJNA560080	SRP227273	SAMN13928273	SRS6066618	14-02-2020	27-01-2020	Senftenberg	E4	g,[s],t	-	Senftenberg	1,3,19	g,s,t	-	14	55	Senftenberg			7	6	8	8	7	8	13	223972	223972	223972	215342	215342	215342	42	42	42	42	42	42	42	2	Assembled	134	301921	4892451	"Salmonella enterica;97.82%"	70	12399	4.1	SAL_AC6591AA_AS
